код стратегии,Название стратерии,Текст цикла ПредупрТОРО,КраткНазвЦикла,Сцепка,Цикл,Единица,код стратегии_счетчик
2-0411,КМ О13600-О210800-КР172800,Техническое обслуживание 2,О2,2-0411О2,"10800,00",КМ,2-0411О2
2-0411,КМ О13600-О210800-КР172800,Капитальный ремонт,КР,2-0411КР,"172800,00",КМ,2-0411КР
2-0412,КМ О13400-О210200-КР142800,Техническое обслуживание 1,О1,2-0412О1,"3400,00",КМ,2-0412О1
2-0412,КМ О13400-О210200-КР142800,Техническое обслуживание 2,О2,2-0412О2,"10200,00",КМ,2-0412О2
2-0412,КМ О13400-О210200-КР142800,Капитальный ремонт,КР,2-0412КР,"142800,00",КМ,2-0412КР
2-0413,КМ ЗД122400,Замена двигателя,ЗД,2-0413ЗД,"122400,00",КМ,2-0413ЗД
2-0414,КМ ТО40000,Техническое обслуживание,ТО,2-0414ТО,"40000,00",КМ,2-0414ТО
2-0415,КМ Д1400000-Д2800000,Замена двигателя,Д1,2-0415Д1,"400000,00",КМ,2-0415Д1
2-0415,КМ Д1400000-Д2800000,Замена двигателя,Д2,2-0415Д2,"800000,00",КМ,2-0415Д2
2-0416,КМ О13600-О210800-КР17800,Техническое обслуживание 1,О1,2-0416О1,"3600,00",КМ,2-0416О1
2-0416,КМ О13600-О210800-КР17800,Техническое обслуживание 2,О2,2-0416О2,"10800,00",КМ,2-0416О2
2-0416,КМ О13600-О210800-КР17800,Капитальный ремонт,КР,2-0416КР,"17800,00",КМ,2-0416КР
2-0417,КМ КР122400,Капитальный ремонт,КР,2-0417КР,"122400,00",КМ,2-0417КР
2-0418,КМ О1150-О2600-КР10000,Техническое обслуживание 1,О1,2-0418О1,"150,00",КМ,2-0418О1
2-0418,КМ О1150-О2600-КР10000,Техническое обслуживание 2,О2,2-0418О2,"600,00",КМ,2-0418О2
2-0418,КМ О1150-О2600-КР10000,Капитальный ремонт,КР,2-0418КР,"10000,00",КМ,2-0418КР
2-0419,КМ О110000-20000-40000-80000,Техническое обслуживание 1,О1,2-0419О1,"10000,00",КМ,2-0419О1
2-0419,КМ О110000-20000-40000-80000,Техническое обслуживание 2,О2,2-0419О2,"20000,00",КМ,2-0419О2
2-0419,КМ О110000-20000-40000-80000,Техническое обслуживание 3,О3,2-0419О3,"40000,00",КМ,2-0419О3
2-0419,КМ О110000-20000-40000-80000,Техническое обслуживание 4,О4,2-0419О4,"80000,00",КМ,2-0419О4
2-0420,КМ 15000-40000-80000-КР450000,Техническое обслуживание 1,О1,2-0420О1,"15000,00",КМ,2-0420О1
2-0420,КМ 15000-40000-80000-КР450000,Техническое обслуживание 2,О2,2-0420О2,"40000,00",КМ,2-0420О2
2-0420,КМ 15000-40000-80000-КР450000,Техническое обслуживание 3,О3,2-0420О3,"80000,00",КМ,2-0420О3
2-0420,КМ 15000-40000-80000-КР450000,Капитальный ремонт,КР,2-0420КР,"450000,00",КМ,2-0420КР
2-0421,КМ О110000-О240000-КР300000,Техническое обслуживание 1,О1,2-0421О1,"10000,00",КМ,2-0421О1
2-0421,КМ О110000-О240000-КР300000,Техническое обслуживание 2,О2,2-0421О2,"40000,00",КМ,2-0421О2
2-0421,КМ О110000-О240000-КР300000,Капитальный ремонт,КР,2-0421КР,"300000,00",КМ,2-0421КР
2-0422,КМ О112000-О240000-КР300000,Техническое обслуживание 1,О1,2-0422О1,"12000,00",КМ,2-0422О1
2-0422,КМ О112000-О240000-КР300000,Техническое обслуживание 2,О2,2-0422О2,"40000,00",КМ,2-0422О2
2-0422,КМ О112000-О240000-КР300000,Капитальный ремонт,КР,2-0422КР,"300000,00",КМ,2-0422КР
2-0423,КМ 851000-34172800,ТР ходовой части,85,2-042385,"1000,00",КМ,2-042385
2-0423,КМ 851000-34172800,КР ходовой части,34,2-042334,"172800,00",КМ,2-042334
2-0424,КМ 771000-27172800,ТР навесного оборудования,77,2-042477,"1000,00",КМ,2-042477
2-0424,КМ 771000-27172800,КР навесного оборудования,27,2-042427,"172800,00",КМ,2-042427
2-0425,КМ 821000-ЗТ172800,ТР трансмиссии,82,2-042582,"1000,00",КМ,2-042582
2-0425,КМ 821000-ЗТ172800,Замена трансмиссии,ЗТ,2-0425ЗТ,"172800,00",КМ,2-0425ЗТ
2-0426,КМ 871000-36172800,ТР электрооборудования,87,2-042687,"1000,00",КМ,2-042687
2-0426,КМ 871000-36172800,КР электрооборудования,36,2-042636,"172800,00",КМ,2-042636
2-0427,КМ 10122400,КР двигателя,10,2-042710,"122400,00",КМ,2-042710
2-0428,КМ 38400000,КР1 двигателя,38,2-042838,"400000,00",КМ,2-042838
2-0429,КМ 32172800,КР трансмиссии,32,2-042932,"172800,00",КМ,2-042932
2-0430,КМ 47800000,КР2 двигателя,47,2-043047,"800000,00",КМ,2-043047
2-0431,МТЧ ТО500-КР6000,Техническое обслуживание,ТО,2-0431ТО,"500,00",МТЧ,2-0431ТО
2-0431,МТЧ ТО500-КР6000,Капитальный ремонт,КР,2-0431КР,"6000,00",МТЧ,2-0431КР
2-0432,МТЧ ТО10000,Техническое обслуживание,ТО,2-0432ТО,"10000,00",МТЧ,2-0432ТО
2-0433,МТЧ ТО500-ТР4000-КР8000,Техническое обслуживание,ТО,2-0433ТО,"500,00",МТЧ,2-0433ТО
2-0433,МТЧ ТО500-ТР4000-КР8000,Текущий ремонт,ТР,2-0433ТР,"4000,00",МТЧ,2-0433ТР
2-0433,МТЧ ТО500-ТР4000-КР8000,Капитальный ремонт,КР,2-0433КР,"8000,00",МТЧ,2-0433КР
2-0434,МТЧ ЗУ12000,Замена футеровка,ЗУ,2-0434ЗУ,"12000,00",МТЧ,2-0434ЗУ
2-0435,МТЧ 3020000,КР распред. механизма,30,2-043530,"20000,00",МТЧ,2-043530
2-0436,МТЧ 250-500-1000-ТР2000-КР6000,Техническое обслуживание 1,О1,2-0436О1,"250,00",МТЧ,2-0436О1
2-0436,МТЧ 250-500-1000-ТР2000-КР6000,Техническое обслуживание 2,О2,2-0436О2,"500,00",МТЧ,2-0436О2
2-0436,МТЧ 250-500-1000-ТР2000-КР6000,Техническое обслуживание 3,О3,2-0436О3,"1000,00",МТЧ,2-0436О3
2-0436,МТЧ 250-500-1000-ТР2000-КР6000,Текущий ремонт,ТР,2-0436ТР,"2000,00",МТЧ,2-0436ТР
2-0436,МТЧ 250-500-1000-ТР2000-КР6000,Капитальный ремонт,КР,2-0436КР,"6000,00",МТЧ,2-0436КР
2-0437,МТЧ 240-2160-4320-8640-86400,Техническое обслуживание 1,О1,2-0437О1,"240,00",МТЧ,2-0437О1
2-0437,МТЧ 240-2160-4320-8640-86400,Техническое обслуживание 2,О2,2-0437О2,"2160,00",МТЧ,2-0437О2
2-0437,МТЧ 240-2160-4320-8640-86400,Техническое обслуживание 3,О3,2-0437О3,"4320,00",МТЧ,2-0437О3
2-0437,МТЧ 240-2160-4320-8640-86400,Текущий ремонт,ТР,2-0437ТР,"8640,00",МТЧ,2-0437ТР
2-0437,МТЧ 240-2160-4320-8640-86400,Капитальный ремонт,КР,2-0437КР,"86400,00",МТЧ,2-0437КР
2-0438,МТЧ О1400-О2800-О31200-О42400,Техническое обслуживание 1,О1,2-0438О1,"400,00",МТЧ,2-0438О1
2-0438,МТЧ О1400-О2800-О31200-О42400,Техническое обслуживание 2,О2,2-0438О2,"800,00",МТЧ,2-0438О2
2-0438,МТЧ О1400-О2800-О31200-О42400,Техническое обслуживание 3,О3,2-0438О3,"1200,00",МТЧ,2-0438О3
2-0438,МТЧ О1400-О2800-О31200-О42400,Техническое обслуживание 4,О4,2-0438О4,"2400,00",МТЧ,2-0438О4
2-0439,МТЧ .1-.25-.5-1-2-4-8-16*1000,Техническое обслуживание 1,О1,2-0439О1,"100,00",МТЧ,2-0439О1
2-0439,МТЧ .1-.25-.5-1-2-4-8-16*1000,Техническое обслуживание 2,О2,2-0439О2,"250,00",МТЧ,2-0439О2
2-0439,МТЧ .1-.25-.5-1-2-4-8-16*1000,Техническое обслуживание 3,О3,2-0439О3,"500,00",МТЧ,2-0439О3
2-0439,МТЧ .1-.25-.5-1-2-4-8-16*1000,Техническое обслуживание 4,О4,2-0439О4,"1000,00",МТЧ,2-0439О4
2-0439,МТЧ .1-.25-.5-1-2-4-8-16*1000,Техническое обслуживание 5,О5,2-0439О5,"2000,00",МТЧ,2-0439О5
2-0439,МТЧ .1-.25-.5-1-2-4-8-16*1000,Техническое обслуживание 6,О6,2-0439О6,"4000,00",МТЧ,2-0439О6
2-0439,МТЧ .1-.25-.5-1-2-4-8-16*1000,Техническое обслуживание 7,О7,2-0439О7,"8000,00",МТЧ,2-0439О7
2-0439,МТЧ .1-.25-.5-1-2-4-8-16*1000,Техническое обслуживание 8,О8,2-0439О8,"16000,00",МТЧ,2-0439О8
2-0440,МТЧ ТО720-ТР4320-КР25920,Техническое обслуживание,ТО,2-0440ТО,"720,00",МТЧ,2-0440ТО
2-0440,МТЧ ТО720-ТР4320-КР25920,Текущий ремонт,ТР,2-0440ТР,"4320,00",МТЧ,2-0440ТР
2-0440,МТЧ ТО720-ТР4320-КР25920,Капитальный ремонт,КР,2-0440КР,"25920,00",МТЧ,2-0440КР
2-0441,МТЧ 853000-3414000,ТР ходовой части,85,2-044185,"3000,00",МТЧ,2-044185
2-0441,МТЧ 853000-3414000,КР ходовой части,34,2-044134,"14000,00",МТЧ,2-044134
2-0442,МТЧ 706000-ЗД22000,ТР двигателя,70,2-044270,"6000,00",МТЧ,2-044270
2-0442,МТЧ 706000-ЗД22000,Замена двигателя,ЗД,2-0442ЗД,"22000,00",МТЧ,2-0442ЗД
2-0443,МТЧ 828000-ЗТ28000,ТР трансмиссии,82,2-044382,"8000,00",МТЧ,2-044382
2-0443,МТЧ 828000-ЗТ28000,Замена трансмиссии,ЗТ,2-0443ЗТ,"28000,00",МТЧ,2-0443ЗТ
2-0444,МТЧ 689000-0536000,ТР гидравлического обор.,68,2-044468,"9000,00",МТЧ,2-044468
2-0444,МТЧ 689000-0536000,КР гидравлического обор.,05,2-044405,"36000,00",МТЧ,2-044405
2-0445,МТЧ 7712000-ЗА33000,ТР навесного оборудования,77,2-044577,"12000,00",МТЧ,2-044577
2-0445,МТЧ 7712000-ЗА33000,Замена навесного оборудования,ЗА,2-0445ЗА,"33000,00",МТЧ,2-0445ЗА
2-0446,МТЧ 8612000-3631000,ТР доп. электрооборудования,86,2-044686,"12000,00",МТЧ,2-044686
2-0446,МТЧ 8612000-3631000,КР электрооборудования,36,2-044636,"31000,00",МТЧ,2-044636
2-0447,МТЧ 6526000-0236000,ТР бортовых редукторов,65,2-044765,"26000,00",МТЧ,2-044765
2-0447,МТЧ 6526000-0236000,КР бортовых редукторов,02,2-044702,"36000,00",МТЧ,2-044702
2-0448,МТЧ О1300-О21800-КР7200,Техническое обслуживание 1,О1,2-0448О1,"300,00",МТЧ,2-0448О1
2-0448,МТЧ О1300-О21800-КР7200,Техническое обслуживание 2,О2,2-0448О2,"1800,00",МТЧ,2-0448О2
2-0448,МТЧ О1300-О21800-КР7200,Капитальный ремонт,КР,2-0448КР,"7200,00",МТЧ,2-0448КР
2-0449,МТЧ О1540-О22160-КР12960,Техническое обслуживание 1,О1,2-0449О1,"540,00",МТЧ,2-0449О1
2-0449,МТЧ О1540-О22160-КР12960,Техническое обслуживание 2,О2,2-0449О2,"2160,00",МТЧ,2-0449О2
2-0449,МТЧ О1540-О22160-КР12960,Капитальный ремонт,КР,2-0449КР,"12960,00",МТЧ,2-0449КР
2-0450,МТЧ 4000-8000-24000-КР40000,Техническое обслуживание,ТО,2-0450ТО,"4000,00",МТЧ,2-0450ТО
2-0450,МТЧ 4000-8000-24000-КР40000,Текущий ремонт 1,Т1,2-0450Т1,"8000,00",МТЧ,2-0450Т1
2-0450,МТЧ 4000-8000-24000-КР40000,Текущий ремонт 2,Т2,2-0450Т2,"24000,00",МТЧ,2-0450Т2
2-0450,МТЧ 4000-8000-24000-КР40000,Капитальный ремонт,КР,2-0450КР,"40000,00",МТЧ,2-0450КР
2-0451,МТЧ ТО2160-ТР4320-КР17280,Техническое обслуживание,ТО,2-0451ТО,"2160,00",МТЧ,2-0451ТО
2-0451,МТЧ ТО2160-ТР4320-КР17280,Текущий ремонт,ТР,2-0451ТР,"4320,00",МТЧ,2-0451ТР
2-0451,МТЧ ТО2160-ТР4320-КР17280,Капитальный ремонт,КР,2-0451КР,"17280,00",МТЧ,2-0451КР
2-0452,МТЧ ТО720-ТР4320-КР51840,Техническое обслуживание,ТО,2-0452ТО,"720,00",МТЧ,2-0452ТО
2-0452,МТЧ ТО720-ТР4320-КР51840,Текущий ремонт,ТР,2-0452ТР,"4320,00",МТЧ,2-0452ТР
2-0452,МТЧ ТО720-ТР4320-КР51840,Капитальный ремонт,КР,2-0452КР,"51840,00",МТЧ,2-0452КР
2-0453,МТЧ О1150-О2600-ТР2000,Техническое обслуживание 1,О1,2-0453О1,"150,00",МТЧ,2-0453О1
2-0453,МТЧ О1150-О2600-ТР2000,Техническое обслуживание 2,О2,2-0453О2,"600,00",МТЧ,2-0453О2
2-0453,МТЧ О1150-О2600-ТР2000,Текущий ремонт,ТР,2-0453ТР,"2000,00",МТЧ,2-0453ТР
2-0454,МТЧ ТО240-ТР720,Техническое обслуживание,ТО,2-0454ТО,"240,00",МТЧ,2-0454ТО
2-0454,МТЧ ТО240-ТР720,Текущий ремонт,ТР,2-0454ТР,"720,00",МТЧ,2-0454ТР
2-0455,МТЧ О1240-О2720,Техническое обслуживание 1,О1,2-0455О1,"240,00",МТЧ,2-0455О1
2-0455,МТЧ О1240-О2720,Техническое обслуживание 2,О2,2-0455О2,"720,00",МТЧ,2-0455О2
2-0456,МТЧ КР фут 12000,КР футеровка,33,2-045633,"12000,00",МТЧ,2-045633
2-0457,МТЧ ТО720-ТР4320-КР8640,Техническое обслуживание,ТО,2-0457ТО,"720,00",МТЧ,2-0457ТО
2-0457,МТЧ ТО720-ТР4320-КР8640,Текущий ремонт,ТР,2-0457ТР,"4320,00",МТЧ,2-0457ТР
2-0457,МТЧ ТО720-ТР4320-КР8640,Капитальный ремонт,КР,2-0457КР,"8640,00",МТЧ,2-0457КР
2-0458,МТЧ ТО240-ТР2880-КР8640,Техническое обслуживание,ТО,2-0458ТО,"240,00",МТЧ,2-0458ТО
2-0458,МТЧ ТО240-ТР2880-КР8640,Текущий ремонт,ТР,2-0458ТР,"2880,00",МТЧ,2-0458ТР
2-0458,МТЧ ТО240-ТР2880-КР8640,Капитальный ремонт,КР,2-0458КР,"8640,00",МТЧ,2-0458КР
2-0459,МТЧ ТО240-ТР2160-КР8640,Техническое обслуживание,ТО,2-0459ТО,"240,00",МТЧ,2-0459ТО
2-0459,МТЧ ТО240-ТР2160-КР8640,Текущий ремонт,ТР,2-0459ТР,"2160,00",МТЧ,2-0459ТР
2-0459,МТЧ ТО240-ТР2160-КР8640,Капитальный ремонт,КР,2-0459КР,"8640,00",МТЧ,2-0459КР
2-0460,МТЧ О175-О2150-О3450-КР1350,Техническое обслуживание 1,О1,2-0460О1,"75,00",МТЧ,2-0460О1
2-0460,МТЧ О175-О2150-О3450-КР1350,Техническое обслуживание 2,О2,2-0460О2,"150,00",МТЧ,2-0460О2
2-0460,МТЧ О175-О2150-О3450-КР1350,Техническое обслуживание 3,О3,2-0460О3,"450,00",МТЧ,2-0460О3
2-0460,МТЧ О175-О2150-О3450-КР1350,Капитальный ремонт,КР,2-0460КР,"1350,00",МТЧ,2-0460КР
2-0461,МТЧ О1150-О2750-КР8250,Техническое обслуживание 1,О1,2-0461О1,"150,00",МТЧ,2-0461О1
2-0461,МТЧ О1150-О2750-КР8250,Техническое обслуживание 2,О2,2-0461О2,"750,00",МТЧ,2-0461О2
2-0461,МТЧ О1150-О2750-КР8250,Капитальный ремонт,КР,2-0461КР,"8250,00",МТЧ,2-0461КР
2-0462,МТЧ О1280-О2560-КР1680,Техническое обслуживание 1,О1,2-0462О1,"280,00",МТЧ,2-0462О1
2-0462,МТЧ О1280-О2560-КР1680,Техническое обслуживание 2,О2,2-0462О2,"560,00",МТЧ,2-0462О2
2-0462,МТЧ О1280-О2560-КР1680,Капитальный ремонт,КР,2-0462КР,"1680,00",МТЧ,2-0462КР
2-0463,МТЧ ТР4320-КР34560,Текущий ремонт,ТР,2-0463ТР,"4320,00",МТЧ,2-0463ТР
2-0463,МТЧ ТР4320-КР34560,Капитальный ремонт,КР,2-0463КР,"34560,00",МТЧ,2-0463КР
2-0464,МТЧ ТО720-ТР2160-КР8640,Техническое обслуживание,ТО,2-0464ТО,"720,00",МТЧ,2-0464ТО
2-0464,МТЧ ТО720-ТР2160-КР8640,Текущий ремонт,ТР,2-0464ТР,"2160,00",МТЧ,2-0464ТР
2-0464,МТЧ ТО720-ТР2160-КР8640,Капитальный ремонт,КР,2-0464КР,"8640,00",МТЧ,2-0464КР
2-0465,МТЧ О1500-О21000-КР6000,Техническое обслуживание 1,О1,2-0465О1,"500,00",МТЧ,2-0465О1
2-0465,МТЧ О1500-О21000-КР6000,Техническое обслуживание 2,О2,2-0465О2,"1000,00",МТЧ,2-0465О2
2-0465,МТЧ О1500-О21000-КР6000,Капитальный ремонт,КР,2-0465КР,"6000,00",МТЧ,2-0465КР
2-0466,МТЧ 1016000,КР двигателя,10,2-046610,"16000,00",МТЧ,2-046610
2-0467,МТЧ 3422000,КР ходовой части,34,2-046734,"22000,00",МТЧ,2-046734
2-0468,МТЧ О1500-О21000-О32000-КР6000,Техническое обслуживание 1,О1,2-0468О1,"500,00",МТЧ,2-0468О1
2-0468,МТЧ О1500-О21000-О32000-КР6000,Техническое обслуживание 2,О2,2-0468О2,"1000,00",МТЧ,2-0468О2
2-0468,МТЧ О1500-О21000-О32000-КР6000,Техническое обслуживание 3,О3,2-0468О3,"2000,00",МТЧ,2-0468О3
2-0468,МТЧ О1500-О21000-О32000-КР6000,Капитальный ремонт,КР,2-0468КР,"6000,00",МТЧ,2-0468КР
2-0469,МТЧ 107000,КР двигателя,10,2-046910,"7000,00",МТЧ,2-046910
2-0470,МТЧ О1360-О21800-КР5400,Техническое обслуживание 1,О1,2-0470О1,"360,00",МТЧ,2-0470О1
2-0470,МТЧ О1360-О21800-КР5400,Техническое обслуживание 2,О2,2-0470О2,"1800,00",МТЧ,2-0470О2
2-0470,МТЧ О1360-О21800-КР5400,Капитальный ремонт,КР,2-0470КР,"5400,00",МТЧ,2-0470КР
2-0471,МТЧ 773000,ТР навесного оборудования,77,2-047177,"3000,00",МТЧ,2-047177
2-0472,МТЧ 877000,ТР электрооборудования,87,2-047287,"7000,00",МТЧ,2-047287
2-0473,МТЧ 688000,ТР гидравлического обор.,68,2-047368,"8000,00",МТЧ,2-047368
2-0474,МТЧ 772000-2710000,ТР навесного оборудования,77,2-047477,"2000,00",МТЧ,2-047477
2-0474,МТЧ 772000-2710000,КР навесного оборудования,27,2-047427,"10000,00",МТЧ,2-047427
2-0475,МТЧ 704000-ЗД8000,ТР двигателя,70,2-047570,"4000,00",МТЧ,2-047570
2-0475,МТЧ 704000-ЗД8000,Замена двигателя,ЗД,2-0475ЗД,"8000,00",МТЧ,2-0475ЗД
2-0476,МТЧ ТК6000-ЗК12000,ТР коробки передач,ТК,2-0476ТК,"6000,00",МТЧ,2-0476ТК
2-0476,МТЧ ТК6000-ЗК12000,Замена коробки передач,ЗК,2-0476ЗК,"12000,00",МТЧ,2-0476ЗК
2-0477,МТЧ 3616000-878000,КР электрооборудования,36,2-047736,"16000,00",МТЧ,2-047736
2-0477,МТЧ 3616000-878000,ТР электрооборудования,87,2-047787,"8000,00",МТЧ,2-047787
2-0478,МТЧ 0510000,КР гидравлического обор.,05,2-047805,"10000,00",МТЧ,2-047805
2-0479,МТЧ 658000-0228000,ТР бортовых редукторов,65,2-047965,"8000,00",МТЧ,2-047965
2-0479,МТЧ 658000-0228000,КР бортовых редукторов,02,2-047902,"28000,00",МТЧ,2-047902
2-0480,МТЧ 704000-ЗД12000,ТР двигателя,70,2-048070,"4000,00",МТЧ,2-048070
2-0480,МТЧ 704000-ЗД12000,Замена двигателя,ЗД,2-0480ЗД,"12000,00",МТЧ,2-0480ЗД
2-0481,МТЧ 854000-3416000,ТР ходовой части,85,2-048185,"4000,00",МТЧ,2-048185
2-0481,МТЧ 854000-3416000,КР ходовой части,34,2-048134,"16000,00",МТЧ,2-048134
2-0482,МТЧ 876000-3622000,ТР электрооборудования,87,2-048287,"6000,00",МТЧ,2-048287
2-0482,МТЧ 876000-3622000,КР электрооборудования,36,2-048236,"22000,00",МТЧ,2-048236
2-0483,МТЧ 686000-0518000,ТР гидравлического обор.,68,2-048368,"6000,00",МТЧ,2-048368
2-0483,МТЧ 686000-0518000,КР гидравлического обор.,05,2-048305,"18000,00",МТЧ,2-048305
2-0484,МТЧ 776000-2724000,ТР навесного оборудования,77,2-048477,"6000,00",МТЧ,2-048477
2-0484,МТЧ 776000-2724000,КР навесного оборудования,27,2-048427,"24000,00",МТЧ,2-048427
2-0485,МТЧ ТК8000-ЗК22000,ТР коробки передач,ТК,2-0485ТК,"8000,00",МТЧ,2-0485ТК
2-0485,МТЧ ТК8000-ЗК22000,Замена коробки передач,ЗК,2-0485ЗК,"22000,00",МТЧ,2-0485ЗК
2-0486,МТЧ 876000-3618000,ТР электрооборудования,87,2-048687,"6000,00",МТЧ,2-048687
2-0486,МТЧ 876000-3618000,КР электрооборудования,36,2-048636,"18000,00",МТЧ,2-048636
2-0487,МТЧ 706000-ЗД12000,ТР двигателя,70,2-048770,"6000,00",МТЧ,2-048770
2-0487,МТЧ 706000-ЗД12000,Замена двигателя,ЗД,2-0487ЗД,"12000,00",МТЧ,2-0487ЗД
2-0488,МТЧ 706000-ЗД18000,ТР двигателя,70,2-048870,"6000,00",МТЧ,2-048870
2-0488,МТЧ 706000-ЗД18000,Замена двигателя,ЗД,2-0488ЗД,"18000,00",МТЧ,2-0488ЗД
2-0489,МТЧ 856000-3416000,ТР ходовой части,85,2-048985,"6000,00",МТЧ,2-048985
2-0489,МТЧ 856000-3416000,КР ходовой части,34,2-048934,"16000,00",МТЧ,2-048934
2-0490,МТЧ 682000-0526000,ТР гидравлического обор.,68,2-049068,"2000,00",МТЧ,2-049068
2-0490,МТЧ 682000-0526000,КР гидравлического обор.,05,2-049005,"26000,00",МТЧ,2-049005
2-0491,МТЧ 772000-ЗА26000,ТР навесного оборудования,77,2-049177,"2000,00",МТЧ,2-049177
2-0491,МТЧ 772000-ЗА26000,Замена навесного оборудования,ЗА,2-0491ЗА,"26000,00",МТЧ,2-0491ЗА
2-0492,МТЧ 878000-3616000,ТР электрооборудования,87,2-049287,"8000,00",МТЧ,2-049287
2-0492,МТЧ 878000-3616000,КР электрооборудования,36,2-049236,"16000,00",МТЧ,2-049236
2-0493,МТЧ 852000-3414000,ТР ходовой части,85,2-049385,"2000,00",МТЧ,2-049385
2-0493,МТЧ 852000-3414000,КР ходовой части,34,2-049334,"14000,00",МТЧ,2-049334
2-0494,МТЧ 874000-3612000,ТР электрооборудования,87,2-049487,"4000,00",МТЧ,2-049487
2-0494,МТЧ 874000-3612000,КР электрооборудования,36,2-049436,"12000,00",МТЧ,2-049436
2-0495,МТЧ 684000-0512000,ТР гидравлического обор.,68,2-049568,"4000,00",МТЧ,2-049568
2-0495,МТЧ 684000-0512000,КР гидравлического обор.,05,2-049505,"12000,00",МТЧ,2-049505
2-0496,МТЧ ТК2000-2414000,ТР коробки передач,ТК,2-0496ТК,"2000,00",МТЧ,2-0496ТК
2-0496,МТЧ ТК2000-2414000,КР коробки передач,24,2-049624,"14000,00",МТЧ,2-049624
2-0497,МТЧ 852000-3412000,ТР ходовой части,85,2-049785,"2000,00",МТЧ,2-049785
2-0497,МТЧ 852000-3412000,КР ходовой части,34,2-049734,"12000,00",МТЧ,2-049734
2-0498,МТЧ 704000-108000,ТР двигателя,70,2-049870,"4000,00",МТЧ,2-049870
2-0498,МТЧ 704000-108000,КР двигателя,10,2-049810,"8000,00",МТЧ,2-049810
2-0499,МТЧ 686000-0512000,ТР гидравлического обор.,68,2-049968,"6000,00",МТЧ,2-049968
2-0499,МТЧ 686000-0512000,КР гидравлического обор.,05,2-049905,"12000,00",МТЧ,2-049905
2-0500,МТЧ 878000-3614000,ТР электрооборудования,87,2-050087,"8000,00",МТЧ,2-050087
2-0500,МТЧ 878000-3614000,КР электрооборудования,36,2-050036,"14000,00",МТЧ,2-050036
2-0501,МТЧ Н10(100),Начальное ТО на 100,Н1,2-0501Н1,"0,00",МТЧ,2-0501Н1
2-0502,МТЧ 878000-3622000,ТР электрооборудования,87,2-050287,"8000,00",МТЧ,2-050287
2-0502,МТЧ 878000-3622000,КР электрооборудования,36,2-050236,"22000,00",МТЧ,2-050236
2-0503,МТЧ 772000-2712000,ТР навесного оборудования,77,2-050377,"2000,00",МТЧ,2-050377
2-0503,МТЧ 772000-2712000,КР навесного оборудования,27,2-050327,"12000,00",МТЧ,2-050327
2-0504,МТЧ 684000-0516000,ТР гидравлического обор.,68,2-050468,"4000,00",МТЧ,2-050468
2-0504,МТЧ 684000-0516000,КР гидравлического обор.,05,2-050405,"16000,00",МТЧ,2-050405
2-0505,МТЧ 858000-3414000,ТР ходовой части,85,2-050585,"8000,00",МТЧ,2-050585
2-0505,МТЧ 858000-3414000,КР ходовой части,34,2-050534,"14000,00",МТЧ,2-050534
2-0506,МТЧ Н20(250),Начальное ТО на 250,Н2,2-0506Н2,"0,00",МТЧ,2-0506Н2
2-0507,МТЧ ТК8000-ЗК18000,ТР коробки передач,ТК,2-0507ТК,"8000,00",МТЧ,2-0507ТК
2-0507,МТЧ ТК8000-ЗК18000,Замена коробки передач,ЗК,2-0507ЗК,"18000,00",МТЧ,2-0507ЗК
2-0508,МТЧ 0818000-ЗГ18000,КР гидротрансформатора,08,2-050808,"18000,00",МТЧ,2-050808
2-0508,МТЧ 0818000-ЗГ18000,Замена гидротрансформатора,ЗГ,2-0508ЗГ,"18000,00",МТЧ,2-0508ЗГ
2-0509,МТЧ 25-50-100-200-400-800 *10,Техническое обслуживание 1,О1,2-0509О1,"250,00",МТЧ,2-0509О1
2-0509,МТЧ 25-50-100-200-400-800 *10,Техническое обслуживание 2,О2,2-0509О2,"500,00",МТЧ,2-0509О2
2-0509,МТЧ 25-50-100-200-400-800 *10,Техническое обслуживание 3,О3,2-0509О3,"1000,00",МТЧ,2-0509О3
2-0509,МТЧ 25-50-100-200-400-800 *10,Техническое обслуживание 4,О4,2-0509О4,"2000,00",МТЧ,2-0509О4
2-0509,МТЧ 25-50-100-200-400-800 *10,Техническое обслуживание 5,О5,2-0509О5,"4000,00",МТЧ,2-0509О5
2-0509,МТЧ 25-50-100-200-400-800 *10,Техническое обслуживание 6,О6,2-0509О6,"8000,00",МТЧ,2-0509О6
2-0510,МТЧ 774000-ЗА28000,ТР навесного оборудования,77,2-051077,"4000,00",МТЧ,2-051077
2-0510,МТЧ 774000-ЗА28000,Замена навесного оборудования,ЗА,2-0510ЗА,"28000,00",МТЧ,2-0510ЗА
2-0511,МТЧ 856000-3424000,ТР ходовой части,85,2-051185,"6000,00",МТЧ,2-051185
2-0511,МТЧ 856000-3424000,КР ходовой части,34,2-051134,"24000,00",МТЧ,2-051134
2-0512,МТЧ 706000-ЗД16000,ТР двигателя,70,2-051270,"6000,00",МТЧ,2-051270
2-0512,МТЧ 706000-ЗД16000,Замена двигателя,ЗД,2-0512ЗД,"16000,00",МТЧ,2-0512ЗД
2-0513,МТЧ 772000-2716000,ТР навесного оборудования,77,2-051377,"2000,00",МТЧ,2-051377
2-0513,МТЧ 772000-2716000,КР навесного оборудования,27,2-051327,"16000,00",МТЧ,2-051327
